Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold6915.2,-0.865860246,22.75703519,0.913397586,0.367498159,0.735878883,-5.664587916,no difference,K01689,44056.XP_009035814.1,4.50E-228,640,"COG0148@1|root,KOG2670@2759|Eukaryota",2759|Eukaryota,G,phosphopyruvate hydratase activity,-,-,4.2.1.11,ko:K01689,"ko00010,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04066,map00010,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04066","M00001,M00002,M00003,M00346,M00394",R00658,RC00349,"ko00000,ko00001,ko00002,ko01000,ko03019,ko04147",-,-,-,"Enolase_C,Enolase_N",NA,NA,SymbC1.scaffold6915.2
SymbC1.scaffold7218.3,-0.597813968,20.29825435,0.550885757,0.587063824,0.854434247,-5.667419182,no difference,,159749.K0TIY5,4.59E-55,192,"COG0192@1|root,KOG1506@2759|Eukaryota,2XFD9@2836|Bacillariophyta",2836|Bacillariophyta,H,Catalyzes the formation of S-adenosylmethionine from methionine and ATP,-,-,2.5.1.6,ko:K00789,"ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230","M00034,M00035,M00368,M00609","R00177,R04771","RC00021,RC01211","ko00000,ko00001,ko00002,ko01000",-,-,-,"S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N",NA,NA,SymbC1.scaffold7218.3
SymbC1.scaffold1272.1,0.537106282,21.97164931,-0.909896013,0.369315489,0.736706266,-5.667622529,no difference,K00164,2850.Phatr29016,3.88E-270,780,"COG0567@1|root,KOG0450@2759|Eukaryota,2XBT2@2836|Bacillariophyta",2836|Bacillariophyta,G,Dehydrogenase E1 component,-,-,1.2.4.2,ko:K00164,"ko00020,ko00310,ko00380,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00310,map00380,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00032","R00621,R01933,R01940,R03316,R08549","RC00004,RC00027,RC00627,RC02743,RC02833,RC02883","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,"2-oxogl_dehyd_N,E1_dh,OxoGdeHyase_C,Transket_pyr",NA,NA,SymbC1.scaffold1272.1
SymbC1.scaffold1940.6,-0.636247616,24.13929352,0.807739978,0.425855735,0.771003054,-5.667655568,no difference,K01900,44056.XP_009038573.1,9.61E-59,197,"COG0045@1|root,KOG2799@2759|Eukaryota",2759|Eukaryota,C,succinate-CoA ligase (ADP-forming) activity,-,"GO:0000166,GO:0003674,GO:0003824,GO:0004774,GO:0004775,GO:0005488,GO:0005507,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006104,GO:0006105,GO:0006139,GO:0006163,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009060,GO:0009117,GO:0009150,GO:0009259,GO:0009987,GO:0010035,GO:0010038,GO:0015980,GO:0016874,GO:0016877,GO:0016878,GO:0016999,GO:0017076,GO:0017144,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033865,GO:0033875,GO:0034032,GO:0034641,GO:0035383,GO:0035639,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043603,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046483,GO:0046686,GO:0046872,GO:0046914,GO:0050896,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0072350,GO:0072521,GO:0097159,GO:0097367,GO:1901135,GO:1901265,GO:1901360,GO:1901363,GO:1901564","6.2.1.4,6.2.1.5",ko:K01900,"ko00020,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00640,map01100,map01110,map01120,map01130,map01200","M00009,M00011","R00432,R00727","RC00004,RC00014","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,iRC1080.CRv4_Au5_s17_g7113_t1,"ATP-grasp_2,Ligase_CoA",NA,NA,SymbC1.scaffold1940.6
SymbC1.scaffold497.8,-0.774465695,20.67509881,0.782284893,0.440653621,0.777955131,-5.668263652,no difference,K13126,29176.XP_003884386.1,8.92E-136,434,"KOG0123@1|root,KOG0123@2759|Eukaryota,3Y9N8@5794|Apicomplexa,3YJE9@5796|Coccidia,3YUNR@5809|Sarcocystidae",5794|Apicomplexa,AJ,Binds the poly(A) tail of mRNA,-,"GO:0000184,GO:0000375,GO:0000377,GO:0000398,GO:0000956,GO:0003674,GO:0003676,GO:0003723,GO:0003727,GO:0003729,GO:0003730,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005737,GO:0005829,GO:0006139,GO:0006378,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006725,GO:0006807,GO:0008022,GO:0008143,GO:0008150,GO:0008152,GO:0008187,GO:0008266,GO:0008380,GO:0008494,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009895,GO:0009896,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010556,GO:0010557,GO:0010604,GO:0010605,GO:0010608,GO:0010628,GO:0010629,GO:0016070,GO:0016071,GO:0016458,GO:0019219,GO:0019222,GO:0019439,GO:0019538,GO:0031047,GO:0031123,GO:0031124,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031330,GO:0031331,GO:0032268,GO:0032270,GO:0032991,GO:0034248,GO:0034250,GO:0034641,GO:0034645,GO:0034655,GO:0035770,GO:0036464,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043487,GO:0043488,GO:0043489,GO:0043603,GO:0043604,GO:0043631,GO:0043900,GO:0043902,GO:0043903,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045069,GO:0045070,GO:0045182,GO:0045727,GO:0045934,GO:0045935,GO:0046483,GO:0046700,GO:0048255,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048524,GO:0050789,GO:0050792,GO:0050794,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051254,GO:0060211,GO:0060213,GO:0060255,GO:0061013,GO:0061014,GO:0065007,GO:0065008,GO:0070717,GO:0071013,GO:0071704,GO:0080090,GO:0090079,GO:0090304,GO:0097159,GO:1900151,GO:1900153,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1902369,GO:1902373,GO:1902494,GO:1903311,GO:1903312,GO:1903313,GO:1903900,GO:1903902,GO:1990904,GO:2000112,GO:2000622,GO:2000623",-,ko:K13126,"ko03013,ko03015,ko03018,map03013,map03015,map03018",-,-,-,"ko00000,ko00001,ko03019,ko03041",-,-,-,"PABP,RRM_1",NA,NA,SymbC1.scaffold497.8
SymbC1.scaffold2592.2,-0.432863092,19.49367528,0.483926652,0.634019086,0.88025259,-5.669677397,no difference,,2903.EOD40756,9.54E-92,297,"KOG1192@1|root,KOG1192@2759|Eukaryota",2759|Eukaryota,G,"transferase activity, transferring hexosyl groups",-,-,-,-,-,-,-,-,-,-,-,-,UDPGT,NA,NA,SymbC1.scaffold2592.2
SymbC1.scaffold1781.7,0.448621449,22.2824155,-0.804800991,0.427522738,0.771118732,-5.669899953,no difference,,1423732.BALS01000005_gene1081,9.25E-28,114,"COG0094@1|root,COG0094@2|Bacteria,1TPE0@1239|Firmicutes,4HBAX@91061|Bacilli,3F3Q7@33958|Lactobacillaceae",91061|Bacilli,J,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits",rplE,"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02931,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,"Ribosomal_L5,Ribosomal_L5_C",NA,NA,rplE
SymbC1.scaffold1958.6;SymbC1.scaffold6531.2,0.545834103,22.61363638,-0.907092482,0.370774733,0.738119829,-5.670044209,no difference,K02951,29176.XP_003882281.1,4.41E-50,163,"COG1358@1|root,KOG3406@2759|Eukaryota,3YAHX@5794|Apicomplexa,3YMTQ@5796|Coccidia,3YSX4@5809|Sarcocystidae",5794|Apicomplexa,J,Belongs to the eukaryotic ribosomal protein eS12 family,-,-,-,ko:K02951,"ko03010,map03010",M00177,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L7Ae,NA,NA,SymbC1.scaffold1958.6
SymbC1.scaffold3087.1,-0.671936957,20.0779119,0.462458156,0.648787781,0.886203214,-5.67182091,no difference,,5811.TGME49_055350,2.40E-174,540,"COG3044@1|root,2QT9W@2759|Eukaryota,3YB7T@5794|Apicomplexa,3YJFJ@5796|Coccidia,3YU4W@5809|Sarcocystidae",5794|Apicomplexa,S,Predicted ATPase of the ABC class,-,-,-,-,-,-,-,-,-,-,-,-,ABC_ATPase,NA,NA,SymbC1.scaffold3087.1
SymbC1.scaffold5246.3,-0.552797641,19.58579192,0.699997186,0.490437003,0.807824124,-5.672466777,no difference,,2903.EOD05014,2.34E-68,230,"2C20Q@1|root,2SEHW@2759|Eukaryota",2759|Eukaryota,S,Domain of unknown function (DUF1825),-,-,-,-,-,-,-,-,-,-,-,-,DUF1825,NA,NA,SymbC1.scaffold5246.3
SymbC1.scaffold1921.8,-0.032563451,18.68466263,0.03412667,0.973231336,0.990950724,-5.673263711,no difference,,5825.PCHAS_110700,1.25E-42,159,"COG5100@1|root,KOG2834@2759|Eukaryota,3Y9I1@5794|Apicomplexa,3KAC7@422676|Aconoidasida,3YYH1@5819|Haemosporida",422676|Aconoidasida,UY,Nuclear pore associated protein,-,-,-,ko:K14015,"ko04141,map04141","M00400,M00403",-,-,"ko00000,ko00001,ko00002",-,-,-,"NPL4,UN_NPL4,zf-NPL4",NA,NA,SymbC1.scaffold1921.8
SymbC1.scaffold570.2,-0.640140917,23.04724847,0.799388164,0.430603361,0.771702468,-5.674013098,no difference,,2850.Phatr48233,1.17E-26,110,"2CV5T@1|root,2RRCD@2759|Eukaryota,2XDHS@2836|Bacillariophyta",2836|Bacillariophyta,S,Isoprenylcysteine carboxyl methyltransferase (ICMT) family,-,-,-,-,-,-,-,-,-,-,-,-,PEMT,NA,NA,SymbC1.scaffold570.2
SymbC1.scaffold1368.5,-0.216160881,20.02941094,0.216728002,0.830881213,0.952546358,-5.674338253,no difference,,38833.XP_003055090.1,7.17E-14,74.7,"KOG4414@1|root,KOG4414@2759|Eukaryota,37RGB@33090|Viridiplantae",33090|Viridiplantae,OT,Cop9 signalosome complex subunit,-,"GO:0000338,GO:0001101,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006464,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009314,GO:0009416,GO:0009628,GO:0009719,GO:0009725,GO:0009753,GO:0009987,GO:0010033,GO:0010387,GO:0016043,GO:0016787,GO:0019538,GO:0022607,GO:0034622,GO:0036211,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050896,GO:0065003,GO:0070011,GO:0070646,GO:0070647,GO:0071704,GO:0071840,GO:0140096,GO:1901564,GO:1901700",-,ko:K12181,-,-,-,-,"ko00000,ko04121",-,-,-,CSN8_PSD8_EIF3K,NA,NA,SymbC1.scaffold1368.5
SymbC1.scaffold9938.3,-0.430831064,19.28261079,0.588998378,0.561646561,0.843384761,-5.674587714,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold9938.3
SymbC1.scaffold4200.1,-0.500583086,20.03537876,0.340469798,0.737083739,0.917815485,-5.675701846,no difference,K01507,2880.D7FKG7,1.52E-99,300,"COG0221@1|root,KOG1626@2759|Eukaryota",2759|Eukaryota,C,inorganic diphosphatase activity,-,"GO:0003674,GO:0003824,GO:0004427,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006950,GO:0006952,GO:0006970,GO:0008150,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009579,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009651,GO:0009941,GO:0010035,GO:0010038,GO:0010876,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0019915,GO:0031967,GO:0031975,GO:0033036,GO:0042221,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046686,GO:0050896,GO:0051179,GO:0051235,GO:0051704,GO:0051707,GO:0065007,GO:0065008,GO:0098542",3.6.1.1,ko:K01507,"ko00190,map00190",-,-,-,"ko00000,ko00001,ko01000",-,-,-,Pyrophosphatase,NA,NA,SymbC1.scaffold4200.1
SymbC1.scaffold625.16,0.344510197,19.2627599,-0.470046185,0.643206697,0.885188543,-5.676360229,no difference,,1313172.YM304_18870,1.50E-104,319,"COG2175@1|root,COG2175@2|Bacteria",2|Bacteria,Q,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors",-,-,-,-,-,-,-,-,-,-,-,-,TauD,NA,NA,SymbC1.scaffold625.16
SymbC1.scaffold52.5;SymbC1.scaffold8794.1,1.557670156,25.6395554,-0.880064485,0.385222019,0.748449734,-5.677477744,no difference,K02716,2850.Phatr20331,6.85E-93,286,"28JI2@1|root,2QRXA@2759|Eukaryota,2XA6Q@2836|Bacillariophyta",2836|Bacillariophyta,S,Manganese-stabilising protein / photosystem II polypeptide,PsbO,-,-,ko:K02716,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,MSP,NA,NA,PsbO
SymbC1.scaffold914.5,-0.967308815,22.89260031,0.878789814,0.38590276,0.748449734,-5.678543445,no difference,,1323663.AROI01000041_gene1267,1.89E-29,111,"COG3193@1|root,COG3193@2|Bacteria,1RGUD@1224|Proteobacteria,1S8DE@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,protein possibly involved in utilization of glycolate and propanediol,-,-,-,ko:K11477,-,-,-,-,ko00000,-,-,-,Haem_degrading,NA,NA,SymbC1.scaffold914.5
SymbC1.scaffold1379.6,0.84081184,20.66821141,-0.552362214,0.586579881,0.854434247,-5.680182241,no difference,,1521187.JPIM01000021_gene183,2.09E-20,95.1,"COG5383@1|root,COG5383@2|Bacteria",2|Bacteria,S,DUF1338,-,-,-,-,-,-,-,-,-,-,-,-,DUF1338,NA,NA,SymbC1.scaffold1379.6
SymbC1.scaffold1576.4,0.243500131,20.89787099,-0.301531223,0.76649856,0.929425096,-5.680340025,no difference,,33876.JNXY01000015_gene7373,1.35E-24,112,"COG1278@1|root,COG1278@2|Bacteria,2IABV@201174|Actinobacteria",201174|Actinobacteria,K,cold-shock protein,-,-,-,ko:K03704,-,-,-,-,"ko00000,ko03000",-,-,-,CSD,NA,NA,SymbC1.scaffold1576.4
SymbC1.scaffold2968.4,-0.372900703,19.38410809,0.53556507,0.59793251,0.859429143,-5.680434785,no difference,,2903.EOD38085,7.15E-70,244,"COG1024@1|root,KOG1684@2759|Eukaryota",2759|Eukaryota,I,3-hydroxyisobutyryl-CoA hydrolase activity,-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016020,GO:0044424,GO:0044444,GO:0044464",3.1.2.4,ko:K05605,"ko00280,ko00410,ko00640,ko01100,ko01200,map00280,map00410,map00640,map01100,map01200",M00013,"R03158,R05064","RC00004,RC00014,RC00137","ko00000,ko00001,ko00002,ko01000",-,-,-,ECH_2,NA,NA,SymbC1.scaffold2968.4
SymbC1.scaffold7939.2,0.682850847,21.10595296,-0.736535738,0.467797239,0.795080028,-5.681821144,no difference,,35128.Thaps21124,9.43E-125,429,"2ECT4@1|root,2SIJZ@2759|Eukaryota,2XB6B@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold7939.2
SymbC1.scaffold3580.4,-0.73037839,23.41233611,0.892467378,0.378447657,0.742259217,-5.682562125,no difference,,588596.U9U0M5,1.95E-171,508,"COG1053@1|root,COG5274@1|root,KOG0537@2759|Eukaryota,KOG2404@2759|Eukaryota,38FMG@33154|Opisthokonta,3NU5S@4751|Fungi",4751|Fungi,C,fumarate reductase,OSM2,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005829,GO:0005886,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006106,GO:0006139,GO:0006457,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009060,GO:0009117,GO:0009628,GO:0009987,GO:0012505,GO:0015980,GO:0016020,GO:0016156,GO:0016491,GO:0016627,GO:0016628,GO:0016999,GO:0017144,GO:0019637,GO:0019752,GO:0033554,GO:0034059,GO:0034641,GO:0034975,GO:0036293,GO:0036294,GO:0042221,GO:0042726,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046443,GO:0046483,GO:0050896,GO:0051186,GO:0051716,GO:0055086,GO:0055114,GO:0070482,GO:0070887,GO:0071453,GO:0071454,GO:0071704,GO:0071944,GO:0072350,GO:0072387,GO:1901360,GO:1901564",-,ko:K18561,-,-,-,-,"ko00000,ko01000",-,-,"iMM904.YEL047C,iND750.YEL047C","Cyt-b5,FAD_binding_2",NA,NA,OSM2 (4)
SymbC1.scaffold9867.1,0.549362212,22.87746799,-0.786441852,0.438026342,0.776885689,-5.683743394,no difference,,391625.PPSIR1_12738,2.60E-10,70.9,"COG0628@1|root,COG0628@2|Bacteria,1NG06@1224|Proteobacteria,42RH3@68525|delta/epsilon subdivisions,2WUIC@28221|Deltaproteobacteria",28221|Deltaproteobacteria,S,Transmembrane protein 43,-,-,-,-,-,-,-,-,-,-,-,-,TMEM43,NA,NA,SymbC1.scaffold9867.1
SymbC1.scaffold666.2,0.471741499,19.65859747,-0.333175466,0.742499344,0.920393329,-5.684744284,no difference,,5811.TGME49_094820,1.80E-147,530,"COG0318@1|root,COG1020@1|root,COG3321@1|root,KOG1178@2759|Eukaryota,KOG1202@2759|Eukaryota,KOG3628@2759|Eukaryota,3Y9H9@5794|Apicomplexa,3YJPA@5796|Coccidia,3YUQG@5809|Sarcocystidae",5794|Apicomplexa,Q,Ketoacyl-synthetase C-terminal extension,-,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N,AMP-binding,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,NAD_binding_4,PP-binding,PS-DH,Sulfotransfer_3,ketoacyl-synt",NA,NA,SymbC1.scaffold666.2
SymbC1.scaffold1959.1,-0.689984528,21.60744008,0.850855338,0.401206047,0.75726582,-5.685440722,no difference,,159749.K0R1T6,2.49E-99,329,"COG0626@1|root,KOG0053@2759|Eukaryota,2XEVR@2836|Bacillariophyta",2836|Bacillariophyta,E,DegT/DnrJ/EryC1/StrS aminotransferase family,-,-,-,-,-,-,-,-,-,-,-,-,Cys_Met_Meta_PP,NA,NA,SymbC1.scaffold1959.1
SymbC1.scaffold2564.3,0.398478796,21.77788993,-0.888515571,0.380538348,0.743624136,-5.685911338,no difference,,946362.XP_004998342.1,5.61E-14,84.3,"COG1053@1|root,COG1304@1|root,COG5274@1|root,KOG0537@2759|Eukaryota,KOG0538@2759|Eukaryota,KOG2404@2759|Eukaryota,38BCT@33154|Opisthokonta",33154|Opisthokonta,C,Hydroxyacid oxidase,-,-,1.1.2.3,ko:K00101,"ko00620,ko01100,map00620,map01100",-,R00196,RC00044,"ko00000,ko00001,ko01000",-,-,-,"Cyt-b5,FMN_dh",NA,NA,SymbC1.scaffold2564.3
SymbC1.scaffold6556.3,0.382574948,20.06574595,-0.58033475,0.567374233,0.846249278,-5.68601723,no difference,K17794,5850.PKH_111480,1.45E-36,131,"COG5596@1|root,KOG3324@2759|Eukaryota,3YAJE@5794|Apicomplexa,3KB1N@422676|Aconoidasida,3YX22@5819|Haemosporida",422676|Aconoidasida,U,Tim17/Tim22/Tim23/Pmp24 family,-,-,-,ko:K17794,"ko04212,map04212",-,-,-,"ko00000,ko00001,ko02000,ko03029",3.A.8.1,-,-,Tim17,NA,NA,SymbC1.scaffold6556.3
SymbC1.scaffold5019.1,0.025837664,19.39054652,-0.030272555,0.976186031,0.992069618,-5.686663911,no difference,,1541065.JRFE01000025_gene1965,7.92E-42,156,"COG1397@1|root,COG1397@2|Bacteria,1G437@1117|Cyanobacteria",1117|Cyanobacteria,O,PFAM ADP-ribosylglycohydrolase,-,-,3.2.2.24,ko:K05521,-,-,-,-,"ko00000,ko01000",-,-,-,ADP_ribosyl_GH,NA,NA,SymbC1.scaffold5019.1
SymbC1.scaffold1086.4,-0.672797312,20.01324728,0.611264684,0.546812536,0.837502224,-5.687028053,no difference,,29176.XP_003879716.1,3.81E-88,325,"COG0318@1|root,COG1020@1|root,COG3321@1|root,KOG1178@2759|Eukaryota,KOG1202@2759|Eukaryota,KOG3628@2759|Eukaryota,3Y9H9@5794|Apicomplexa,3YJPA@5796|Coccidia,3YUQG@5809|Sarcocystidae",5794|Apicomplexa,Q,Ketoacyl-synthetase C-terminal extension,-,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N,AMP-binding,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,NAD_binding_4,PP-binding,PS-DH,Sulfotransfer_3,ketoacyl-synt",NA,NA,SymbC1.scaffold1086.4
SymbC1.scaffold776.22,0.566008686,19.13073766,-0.701653708,0.489170258,0.806720552,-5.688771415,no difference,,44056.XP_009036573.1,2.87E-67,241,"COG3268@1|root,COG4886@1|root,KOG0619@2759|Eukaryota,KOG2733@2759|Eukaryota",2759|Eukaryota,O,oxidoreductase activity,-,-,-,-,-,-,-,-,-,-,-,-,"I-set,LRRNT_2,LRR_1,LRR_6,LRR_8,Sacchrp_dh_NADP",NA,NA,SymbC1.scaffold776.22
SymbC1.scaffold764.3,0.534963638,19.5570195,-0.76236372,0.452257137,0.785008402,-5.689031726,no difference,,1279038.KB907347_gene3153,2.81E-145,421,"COG0136@1|root,COG0136@2|Bacteria,1MUHG@1224|Proteobacteria,2TSRD@28211|Alphaproteobacteria,2JQDF@204441|Rhodospirillales",204441|Rhodospirillales,E,Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate,asd,-,1.2.1.11,ko:K00133,"ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230","M00016,M00017,M00018,M00033,M00525,M00526,M00527",R02291,RC00684,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Semialdhyde_dh,Semialdhyde_dhC",NA,NA,asd
SymbC1.scaffold415.9,0.65194909,21.50641784,-0.884582087,0.382626692,0.74579779,-5.68923097,no difference,,109760.SPPG_04794T0,6.18E-137,417,"COG0022@1|root,KOG0525@2759|Eukaryota,38BVR@33154|Opisthokonta,3NV7X@4751|Fungi",4751|Fungi,C,Dehydrogenase,-,-,1.2.4.4,ko:K00167,"ko00280,ko00640,ko01100,ko01110,ko01130,map00280,map00640,map01100,map01110,map01130",M00036,"R07599,R07600,R07601,R07602,R07603,R07604,R10996,R10997","RC00027,RC00627,RC02743,RC02883,RC02949,RC02953","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,"Transket_pyr,Transketolase_C",NA,NA,SymbC1.scaffold415.9
